GO:0016444	19,49,113,248,1163,
GO:0016445	14,19,483,
GO:0016447	68,127,231,5744,
GO:0019047	19,56,109,227,1034,1700,2297,
GO:0019058	19,528,
GO:0019059	19,420,1212,1701,
GO:0019724	19,248,872,
GO:0019827	19,73,118,
GO:0022415	19,
GO:0030069	19,56,151,173,2184,4346,
GO:0030097	19,44,213,
GO:0030098	895,1093,
GO:0030217	19,61,307,
GO:0033077	19,709,
GO:0033151	19,78,113,310,363,1533,2904,5854,
GO:0033153	19,124,277,661,4809,
GO:0035019	19,224,939,
GO:0042110	
GO:0042113	19,73,122,
GO:0042127	19,73,124,
GO:0042981	19,113,224,
GO:0043009	19,20,267,331,
GO:0043066	19,140,
GO:0043067	
GO:0043069	19,20,
GO:0043523	19,361,420,
GO:0043524	19,191,
GO:0045190	19,233,976,1868,
GO:0045321	19,56,
GO:0045596	19,
GO:0046649	19,213,267,
GO:0048145	79,740,1491,
GO:0048146	19,20,112,210,238,1058,7589,
GO:0048534	19,200,517,
GO:0048863	19,73,92,94,309,
GO:0048864	19,329,
GO:0050767	19,1155,
GO:0050769	19,329,
GO:0051093	266,
GO:0051102	19,250,263,1214,3370,3415,5973,6497,8199,9828,
GO:0051103	773,845,1118,4045,6550,
GO:0051301	19,46,96,716,
GO:0051402	19,110,2350,
GO:0051960	19,49,309,
GO:0060284	19,
GO:0070997	19,5583,
GO:0071285	142,1233,2749,7909,
GO:2000026	19,94,
GO:0010608	19,224,245,
GO:0031647	19,
GO:0042542	19,297,1131,
GO:0000718	19,43,1507,6236,
GO:0000720	19,372,383,734,1375,2289,2882,4497,9567,
GO:0001302	19,135,282,1681,2746,3404,5229,
GO:0006283	
GO:0006290	19,514,536,626,1034,
GO:0006295	19,21,24,1220,2205,2251,3359,4249,4416,4772,
GO:0006296	19,268,655,1185,2364,9700,
GO:0006308	19,45,302,492,
GO:0006312	19,
GO:0006949	19,68,263,1701,2784,4481,
GO:0007292	16,19,124,238,268,
GO:0007548	19,
GO:0007568	19,53,90,679,
GO:0007569	19,608,
GO:0007584	19,73,
GO:0008406	19,79,
GO:0008584	19,278,1212,
GO:0009411	137,142,283,641,709,1764,3564,
GO:0009416	19,
GO:0009650	19,55,1316,2012,2488,
GO:0009743	19,95,212,538,
GO:0009744	19,276,300,687,
GO:0009791	19,303,704,
GO:0009991	19,43,56,
GO:0010259	19,191,253,1397,4439,
GO:0010639	19,189,320,
GO:0031667	19,
GO:0032204	19,132,593,5860,
GO:0032205	19,20,113,178,7856,
GO:0032844	19,73,
GO:0032845	19,24,276,925,
GO:0033043	19,
GO:0033044	19,56,142,2678,
GO:0033683	127,178,212,765,988,1780,3601,3799,
GO:0034285	19,73,98,124,2960,4257,
GO:0035166	974,2718,8665,
GO:0035264	19,
GO:0040007	19,110,
GO:0044349	19,101,178,821,1105,4178,
GO:0045137	19,355,
GO:0046546	19,358,917,
GO:0046661	19,73,456,
GO:0048477	483,638,
GO:0048568	19,
GO:0048569	19,165,1213,1861,2650,4802,
GO:0048608	19,173,450,
GO:0051052	19,56,140,142,145,191,7329,
GO:0051053	19,1691,
GO:0051128	19,61,
GO:0051129	19,124,269,
GO:0090305	19,413,798,2528,3059,3376,
GO:0000018	227,308,1806,4316,
GO:0000019	234,270,1177,2770,4464,
GO:0000279	19,
GO:0000723	19,186,387,729,2532,
GO:0000724	19,73,191,355,1713,
GO:0000725	19,
GO:0001932	19,
GO:0001934	233,278,
GO:0006275	19,200,382,1157,2204,
GO:0006278	19,163,189,193,266,
GO:0007004	19,297,390,
GO:0007059	19,56,126,
GO:0007062	19,4316,
GO:0007126	44,355,
GO:0007127	575,
GO:0007131	19,2029,6232,6281,
GO:0008156	19,955,1517,2316,
GO:0010562	19,98,
GO:0010564	19,122,166,
GO:0010833	19,78,253,329,1482,
GO:0010948	19,248,636,751,767,866,1700,
GO:0019220	73,
GO:0022402	19,
GO:0022403	19,56,225,279,
GO:0031399	124,328,
GO:0031401	19,
GO:0031952	19,55,96,
GO:0031954	19,225,243,586,634,1429,
GO:0032200	118,1189,1711,3188,
GO:0032268	19,
GO:0032270	77,
GO:0032392	266,
GO:0032508	168,308,676,4443,
GO:0032875	19,1103,2020,2278,2652,2817,3225,7439,
GO:0032876	9,19,109,2064,2649,3944,
GO:0033674	19,280,650,
GO:0035825	110,253,2350,4573,
GO:0042325	19,86,
GO:0042327	19,20,485,523,
GO:0043085	19,358,
GO:0043549	4,19,
GO:0044093	19,140,
GO:0045937	19,44,143,
GO:0050790	19,44,
GO:0051174	19,94,
GO:0051246	19,
GO:0051247	19,73,233,277,626,
GO:0051321	56,
GO:0051327	19,37,40,328,374,705,
GO:0051338	19,234,
GO:0051347	19,
GO:0051726	19,
GO:0060249	19,157,
GO:0065009	16,19,
GO:0071103	19,56,61,142,594,1149,1324,
GO:0090329	19,159,1549,2352,2407,
GO:2000104	19,122,706,
GO:0001558	19,157,
GO:0005996	19,
GO:0006006	19,44,78,107,122,140,
GO:0006007	19,
GO:0006066	19,
GO:0006094	16,19,899,1295,
GO:0006096	19,
GO:0009607	19,73,266,
GO:0009615	19,110,
GO:0016052	19,73,361,
GO:0019318	19,355,928,
GO:0019319	19,118,
GO:0019320	258,
GO:0030308	19,79,729,
GO:0034637	106,283,2519,
GO:0040008	19,
GO:0044275	19,56,696,784,
GO:0045926	19,844,1490,
GO:0046164	19,55,115,1161,1746,
GO:0046165	19,307,486,734,
GO:0046364	19,599,1879,4064,
GO:0046365	309,359,487,1782,
GO:0051707	19,43,127,
GO:0009611	19,
GO:0031099	19,106,355,1544,
GO:0042060	19,73,253,
GO:0042246	19,3174,
GO:0043403	19,117,126,968,1593,3962,4913,
GO:0048589	74,557,
GO:0007586	4,19,21,247,973,
GO:0009719	19,140,193,230,
GO:0009725	19,
GO:0010045	16,19,54,79,2180,2204,2537,4032,5931,9441,
GO:0010288	19,257,1993,2957,4042,
GO:0042594	19,64,1507,
GO:0043627	19,692,1352,
GO:0044245	19,1925,3772,
GO:0045471	19,231,252,308,411,1144,1697,1717,
GO:0048545	19,892,
GO:0000072	98,188,193,600,872,883,981,1457,1700,2943,6035,
GO:0000085	19,1593,
GO:0000278	19,110,
GO:0006605	19,124,
GO:0006606	19,251,654,895,
GO:0006607	19,696,1640,7559,
GO:0006886	19,20,
GO:0006913	19,112,
GO:0007017	19,73,
GO:0008104	19,178,
GO:0015031	19,21,
GO:0017038	19,238,
GO:0033036	19,53,
GO:0033365	19,135,157,193,
GO:0034504	19,61,215,263,695,
GO:0034613	19,
GO:0045184	19,20,291,
GO:0046907	19,
GO:0051169	19,94,
GO:0051170	19,266,292,676,885,
GO:0051319	19,212,1188,
GO:0051325	19,622,705,
GO:0051329	
GO:0051649	19,56,
GO:0070727	19,
GO:0000737	19,112,
GO:0006309	19,347,779,1703,1947,
GO:0006921	19,
GO:0019048	19,21,109,124,329,1323,
GO:0030262	19,407,894,1187,2699,
GO:0044403	19,757,793,
GO:0046796	19,170,280,447,899,3347,4849,
GO:0051701	19,74,877,1112,
GO:0000022	19,299,2304,2366,3556,7575,
GO:0000087	19,
GO:0000226	19,320,
GO:0000280	19,
GO:0000910	19,233,
GO:0007018	531,
GO:0007051	19,94,118,347,2322,
GO:0007052	214,329,898,2501,
GO:0007067	19,
GO:0007596	19,
GO:0007599	19,
GO:0032465	19,361,1682,3846,
GO:0032467	19,178,
GO:0033205	19,54,206,259,2726,
GO:0048285	16,19,20,
GO:0050817	19,125,
GO:0050878	1133,
GO:0051225	19,2385,
GO:0051231	19,74,323,357,1097,3200,3552,4148,
GO:0051255	19,122,248,929,1232,1888,3462,3786,5800,
GO:0051256	20,191,1559,2002,2416,4114,4269,5465,6421,
GO:0051302	440,
GO:0051781	19,39,127,328,438,
GO:0071775	19,21,604,2048,2828,
GO:0071777	6,19,131,2930,
GO:0090068	19,118,245,
GO:0090307	19,386,1128,1655,6462,
GO:0000023	21,86,448,834,2537,2731,2933,7932,10182,
GO:0000272	19,193,325,641,2499,
GO:0002026	19,127,173,325,815,995,1430,3770,
GO:0002086	14,19,86,1120,7507,
GO:0003007	19,193,247,
GO:0003009	19,158,231,362,641,1157,1850,
GO:0003011	19,122,320,1618,2001,
GO:0003012	19,141,224,
GO:0003016	19,25,157,463,1043,3117,3569,
GO:0003205	19,253,1216,
GO:0003206	19,1035,
GO:0003208	19,302,519,1035,2252,
GO:0003229	19,43,191,253,
GO:0003231	19,
GO:0005976	19,42,1384,
GO:0005977	19,53,85,1497,1859,2665,
GO:0005980	19,142,638,3423,
GO:0005984	19,55,157,177,636,6234,7413,7415,
GO:0005985	19,79,626,735,2444,3337,
GO:0006073	19,122,130,359,387,716,1165,
GO:0006936	19,701,
GO:0006941	19,688,1543,4402,
GO:0007033	
GO:0007040	19,111,938,
GO:0007585	19,142,309,331,1242,
GO:0007610	19,170,183,
GO:0007626	19,53,112,267,
GO:0008015	19,518,
GO:0009251	19,62,79,99,278,723,1542,
GO:0009887	43,
GO:0016137	20,249,314,627,800,972,1352,2696,2737,
GO:0019725	19,21,61,
GO:0043181	21,94,278,828,986,2455,3977,
GO:0043586	19,61,196,226,1029,1035,
GO:0043587	5,19,301,358,
GO:0044042	19,142,982,
GO:0044247	19,117,149,178,358,593,716,2885,
GO:0044264	19,149,278,1151,1201,2255,
GO:0046716	19,190,193,261,309,329,769,1205,1917,4443,
GO:0048644	19,113,278,665,2838,
GO:0048729	19,
GO:0050879	19,514,1067,
GO:0050881	19,1112,1583,
GO:0050884	287,1274,2922,
GO:0050885	19,677,1187,
GO:0050905	19,94,122,244,
GO:0051235	19,520,
GO:0051651	19,193,879,1137,
GO:0055008	19,207,
GO:0055010	19,1767,
GO:0060047	19,124,313,
GO:0060048	19,328,576,762,
GO:0060415	19,24,187,338,3358,
GO:0000028	19,159,267,685,879,1307,1536,5770,7441,
GO:0022613	19,1572,
GO:0022618	19,112,335,621,706,882,971,
GO:0042254	19,149,626,
GO:0042255	19,143,307,1712,1929,2568,
GO:0042274	152,
GO:0071826	19,258,335,
GO:0071843	19,124,355,
GO:0006364	19,818,
GO:0006396	19,
GO:0006412	308,
GO:0006413	19,100,996,
GO:0006414	19,968,
GO:0006415	19,307,512,
GO:0016071	19,
GO:0016072	19,124,238,355,371,
GO:0019080	19,326,943,1881,
GO:0019083	278,636,1905,
GO:0031016	7,19,200,214,
GO:0031018	19,55,189,651,1888,
GO:0034101	19,
GO:0034470	19,278,1184,
GO:0034660	19,239,294,381,
GO:0035270	19,
GO:0043241	19,124,959,
GO:0043624	558,854,
GO:0048872	19,56,122,191,309,
GO:0000447	19,56,143,539,1063,3122,5475,
GO:0000460	19,86,177,178,622,
GO:0000461	19,1382,1658,2934,3228,
GO:0000462	19,109,135,1144,1718,2429,3455,
GO:0000466	22,381,1104,1323,
GO:0000469	19,188,1078,5894,7442,
GO:0000478	19,354,1067,1318,1523,2489,2515,5110,7860,
GO:0000479	19,49,95,214,574,2936,
GO:0006403	19,267,
GO:0006405	19,40,1712,1882,
GO:0006407	3784,
GO:0007155	19,49,245,
GO:0022610	19,
GO:0030490	19,112,306,2729,
GO:0031123	19,1367,
GO:0031125	183,741,1031,1045,3422,
GO:0043628	19,1097,4188,
GO:0050657	19,258,330,
GO:0050658	19,233,253,956,1583,
GO:0051029	19,193,517,1617,
GO:0051168	19,867,1068,
GO:0051236	19,183,
GO:0006417	19,197,
GO:0030099	19,73,149,
GO:0030218	19,1067,
GO:0008286	19,169,595,
GO:0010942	55,356,
GO:0031929	19,20,122,870,1881,
GO:0032868	19,879,
GO:0032869	22,180,634,
GO:0032870	19,
GO:0033500	19,182,230,329,953,
GO:0042593	19,226,
GO:0043065	19,
GO:0043068	19,
GO:0043434	7,
GO:0048878	19,173,
GO:0071310	19,
GO:0071375	19,21,308,620,882,
GO:0071495	19,426,
GO:0006501	308,1102,
GO:0016254	19,110,113,1528,3395,
GO:0018410	19,253,355,469,640,1347,
GO:0001580	270,2275,
GO:0001654	21,782,982,
GO:0001754	19,450,635,1321,
GO:0006163	14,19,55,256,307,669,
GO:0006184	19,73,131,277,362,
GO:0006195	19,184,
GO:0007186	19,
GO:0007187	19,21,61,299,
GO:0007188	19,269,484,
GO:0007600	19,21,443,
GO:0007601	19,421,699,
GO:0007602	19,307,1767,3446,
GO:0007603	19,21,257,355,685,1757,2229,
GO:0007606	19,77,138,
GO:0009141	19,890,
GO:0009143	19,139,
GO:0009144	19,21,515,
GO:0009146	19,
GO:0009150	
GO:0009154	19,56,329,355,390,
GO:0009166	19,
GO:0009199	19,43,55,56,142,
GO:0009203	19,142,2285,
GO:0009205	19,
GO:0009207	19,309,784,
GO:0009259	19,73,124,243,329,
GO:0009261	19,156,215,
GO:0009581	19,21,73,
GO:0009582	19,355,387,
GO:0009583	142,1067,
GO:0009584	19,1185,2106,
GO:0009586	19,49,74,268,968,4446,5109,
GO:0009593	19,2664,
GO:0009642	19,143,855,3421,
GO:0019932	19,96,
GO:0019933	19,1870,
GO:0019935	19,240,255,638,
GO:0042461	5945,
GO:0042462	19,30,1304,2389,2794,
GO:0043010	14,19,127,536,1114,
GO:0043086	19,78,252,
GO:0044092	19,21,
GO:0046039	19,284,325,643,
GO:0046530	19,142,178,358,1799,
GO:0048592	109,440,1057,
GO:0050906	19,60,
GO:0050907	19,73,
GO:0050908	219,234,632,654,778,1212,2543,2666,
GO:0050909	55,355,2685,4238,
GO:0050912	709,
GO:0050913	19,100,172,1543,5809,
GO:0050917	61,152,1492,1646,2385,5501,
GO:0050953	19,177,266,
GO:0050962	19,329,591,4231,
GO:0051336	19,
GO:0051342	19,193,387,428,643,
GO:0051343	19,115,171,669,1093,4569,5006,5506,5853,8243,8407,
GO:0051344	19,24,113,328,518,3908,5608,
